Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight,Detailed Specs
Lenovo IdeaPad 130,https://www.gadgets360.com/lenovo-ideapad-130-8022,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 130', 'Price in India': '₹24,290', 'Model Number': '130', 'Series': 'IdeaPad', 'Dimensions (mm)': '333.00 x 247.00 x 22.40', 'Weight (kg)': '2', 'Colours': 'Onyx Black', 'Operating system': 'Windows 10', 'Battery Cell': '2', 'Battery Life (up to hours)': '5', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Core i3 8th Gen 8250U', 'Base Clock Speed': '1.6 GHz', 'Cache': '6MB', 'RAM': '4GB', 'RAM Slots': '2', 'Expandable RAM up to (GB)': '8GB', 'Graphics Processor': 'Intel Integrated UHD Graphics 620', 'Dedicated Graphics': 'No', 'Hard disk': '1TB', 'SSD': 'No', 'Bluetooth version': '4.1', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': '2 Speakers', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'USB Ports': '2 x USB 3.0', 'Mic In': 'Yes'}"
Lenovo IdeaPad Miix 320,https://www.gadgets360.com/lenovo-ideapad-miix-320-8021,N/A,10.10-inch,1280x800 pixels,Atom Quad Core,Windows 10 Home,32GB,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad Miix 320', 'Price in India': '₹19,949', 'Model Number': 'Miix 320', 'Series': 'IdeaPad', 'Dimensions (mm)': '396.00 x 248.00 x 6.60', 'Weight (kg)': '2', 'Colours': 'White', 'Operating system': 'Windows 10 Home', 'Battery Cell': '2', 'Size': '10.10-inch', 'Resolution': '1280x800 pixels', 'Processor': 'Intel Atom Quad Core Z8350', 'RAM': '2GB', 'Hard disk': 'No', 'SSD': '32GB', 'Touchpad': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '3', 'USB Ports': '2 x USB 2.0, 1 x USB 3.0', 'HDMI Port': 'Standard'}"
HP 15Q-DY0004AU,https://www.gadgets360.com/hp-15q-dy0004au-8020,N/A,15.60-inch,1366x768 pixels,N/A,Windows 10,No,N/A,"{'Brand': 'HP', 'Model': '15Q-DY0004AU', 'Price in India': '₹25,870', 'Model Number': '15Q-DY0004AU', 'Dimensions (mm)': '376.00 x 246.00 x 22.50', 'Weight (kg)': '2.04', 'Colours': 'Black', 'Operating system': 'Windows 10', 'Battery Cell': '3', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Base Clock Speed': '2.5 GHz', 'Cache': '4MB', 'RAM': '4GB', 'Expandable RAM up to (GB)': '16GB', 'Hard disk': '1TB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 b/g/n', 'Bluetooth version': '4.2', 'Ethernet': '10/100/1000 Base T', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '3', 'USB Ports': '1 x USB 2.0', 'Mic In': 'Yes', 'RJ45 (LAN)': 'Yes'}"
Lenovo IdeaPad 330E,https://www.gadgets360.com/lenovo-ideapad-330e-8019,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,No,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 330E', 'Price in India': '₹35,370', 'Model Number': '330E', 'Series': 'IdeaPad', 'Dimensions (mm)': '378.00 x 260.00 x 23.00', 'Weight (kg)': '2.2', 'Colours': 'Onyx Black', 'Operating system': 'Windows 10', 'Battery Cell': '2', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Processor': 'Intel Core i5 8250U', 'RAM': '8GB', 'Hard disk': '2TB', 'SSD': 'No', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'USB Ports': '2 x USB 3.0, 2 x USB 3.0 (Type C)', 'HDMI Port': 'Standard'}"
Lenovo IdeaPad 530S-14Ikb,https://www.gadgets360.com/lenovo-ideapad-530s-14ikb-8018,N/A,14.00-inch,1920x1080 pixels,Core i5,Windows 10,No,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 530S-14Ikb', 'Price in India': '₹81,992', 'Model Number': '530S-14Ikb', 'Series': 'IdeaPad', 'Colours': 'Mineral Grey', 'Operating system': 'Windows 10', 'Battery Cell': '4', 'Battery Life (up to hours)': '8', 'Size': '14.00-inch', 'Resolution': '1920x1080 pixels', 'Processor': 'Intel Core i5 8th Gen 8250U', 'Base Clock Speed': '1.6 GHz', 'Cache': '6MB', 'RAM': '8GB', 'RAM Slots': '1', 'Expandable RAM up to (GB)': '16GB', 'Hard disk': '512GB', 'SSD': 'No', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No', 'HDMI Port': 'Standard', 'Multi Card Slot': 'Yes', 'VGA Port': 'No'}"
Lenovo IdeaPad 330S,https://www.gadgets360.com/lenovo-ideapad-330s-8017,N/A,15.60-inch,1366x768 pixels,Core i7,Windows 10 Professional,No,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 330S', 'Price in India': '₹28,173', 'Model Number': '330S', 'Series': 'IdeaPad', 'Dimensions (mm)': '358.00 x 244.00 x 48.26', 'Weight (kg)': '1.86', 'Colours': 'Midnight Blue', 'Operating system': 'Windows 10 Professional', 'Battery Cell': '3', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Processor': 'Intel Core i7 8250U', 'Base Clock Speed': '3.4 GHz', 'RAM': '4GB', 'Hard disk': '1TB', 'SSD': 'No', 'Finger Print Sensor': 'No', 'Number of USB Ports': '3', 'USB Ports': '2 x USB 2.0, 1 x USB 3.0', 'HDMI Port': 'Standard'}"
Lenovo Flex 5 1570,https://www.gadgets360.com/lenovo-flex-5-1570-8016,N/A,15.60-inch,N/A,Core i5,Windows 10,256GB,3.33 kg,"{'Brand': 'Lenovo', 'Model': 'Flex 5 1570', 'Price in India': '₹80,840', 'Model Number': '5 1570', 'Series': 'Flex', 'Dimensions (mm)': '54.60 x 34.90 x 8.90', 'Weight (kg)': '3.33', 'Colours': 'Onyx Black', 'Operating system': 'Windows 10', 'Battery Cell': '3', 'Size': '15.60-inch', 'Processor': 'Intel Core i5', 'RAM': '8GB', 'Hard disk': 'No', 'SSD': '256GB', 'Finger Print Sensor': 'No'}"
Lenovo G51 35,https://www.gadgets360.com/lenovo-g51-35-8014,N/A,15.60-inch,N/A,N/A,N/A,No,3.16 kg,"{'Brand': 'Lenovo', 'Model': 'G51 35', 'Price in India': '₹26,130', 'Model Number': 'G51 35', 'Dimensions (mm)': '51.80 x 33.00 x 6.70', 'Weight (kg)': '3.16', 'Colours': 'Black', 'Size': '15.60-inch', 'RAM': '4GB', 'Hard disk': '1TB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
Lenovo G40 30,https://www.gadgets360.com/lenovo-g40-30-8013,"₹ 27,999",14.00-inch,N/A,Pentium Dual Core,Windows 8.1,No,2.50 kg,"{'Brand': 'Lenovo', 'Model': 'G40 30', 'Price in India': '₹27,999', 'Model Number': 'G40 30', 'Dimensions (mm)': '265.00 x 38.40 x 25.00', 'Weight (kg)': '2.5', 'Colours': 'Black', 'Operating system': 'Windows 8.1', 'Battery Cell': '4', 'Size': '14.00-inch', 'Processor': 'Intel Pentium Dual Core N3540', 'Base Clock Speed': '2.16 GHz', 'RAM': '4GB', 'Hard disk': '500GB', 'SSD': 'No', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No'}"
Lenovo G500,https://www.gadgets360.com/lenovo-g500-8012,N/A,15.60-inch,N/A,Core i5,Windows 8,No,2.50 kg,"{'Brand': 'Lenovo', 'Model': 'G500', 'Price in India': '₹67,386', 'Model Number': 'G500', 'Dimensions (mm)': '260.00 x 38.00 x 25.80', 'Weight (kg)': '2.5', 'Colours': 'Black', 'Operating system': 'Windows 8', 'Battery Cell': '6', 'Size': '15.60-inch', 'Processor': 'Intel Core i5 3120M', 'Base Clock Speed': '2.5 GHz', 'RAM': '4GB', 'Hard disk': '500GB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
Lenovo IdeaPad 330,https://www.gadgets360.com/lenovo-ideapad-330-8011,N/A,15.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 330', 'Price in India': '₹32,199', 'Model Number': '330', 'Series': 'IdeaPad', 'Colours': 'Onyx Black', 'Operating system': 'Windows 10', 'Battery Cell': '2', 'Battery Life (up to hours)': '4', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Celeron Dual Core 9000', 'Base Clock Speed': '1.8 GHz', 'Cache': '3MB', 'RAM': '8GB', 'Graphics Processor': 'AMD Radeon R2', 'Hard disk': '128GB', 'SSD': 'No', 'Bluetooth version': '4.1', 'Ethernet': '10/100', 'Web Camera': '0.3-megapixel', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '3', 'USB Ports': '2 x USB 3.0', 'Mic In': 'Yes', 'RJ45 (LAN)': 'Yes'}"
Lenovo IdeaPad 310 15Ikb,https://www.gadgets360.com/lenovo-ideapad-310-15ikb-8010,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,No,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 310 15Ikb', 'Price in India': '₹53,352', 'Model Number': '310 15Ikb', 'Series': 'IdeaPad', 'Dimensions (mm)': '379.00 x 260.00 x 22.90', 'Weight (kg)': '2.2', 'Colours': 'Indigo Purple', 'Operating system': 'Windows 10', 'Battery Cell': '2', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Processor': 'Intel Core i5 7th Gen 7200U', 'Base Clock Speed': '2.5 GHz', 'Cache': '3MB', 'RAM': '4GB', 'Hard disk': '1TB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 b/g/n', 'Bluetooth version': '4.1', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '3', 'USB Ports': '2 x USB 2.0, 1 x USB 3.0'}"
Lenovo IdeaPad 100 15Isk,https://www.gadgets360.com/lenovo-ideapad-100-15isk-8009,"₹ 24,741",15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 100 15Isk', 'Price in India': '₹24,741', 'Model Number': '100 15Isk', 'Series': 'IdeaPad', 'Dimensions (mm)': '52.00 x 33.20 x 8.00', 'Weight (kg)': '2.7', 'Colours': 'Black', 'Operating system': 'Windows 10', 'Battery Cell': '4', 'Battery Life (up to hours)': '4', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Core i3 5th Gen 6006', 'Base Clock Speed': '2 GHz', 'Cache': '3MB', 'RAM': '4GB', 'RAM Slots': '1', 'Dedicated Graphic Memory Type': 'DDR4', 'Hard disk': '1TB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 n', 'Bluetooth version': '4', 'Web Camera': '0.3-megapixel', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Stereo Speakers', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'USB Ports': '1 x USB 2.0, 1 x USB 3.0', 'HDMI Port': 'Standard', 'Mic In': 'Yes'}"
Lenovo IdeaPad 120S,https://www.gadgets360.com/lenovo-ideapad-120s-8008,N/A,11.60-inch,1366x768 pixels,Pentium Dual Core,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 120S', 'Price in India': '₹28,690', 'Model Number': '120S', 'Series': 'IdeaPad', 'Dimensions (mm)': '334.00 x 235.00 x 18.60', 'Weight (kg)': '1.44', 'Colours': 'Grey', 'Operating system': 'Windows 10', 'Battery Cell': '2', 'Battery Life (up to hours)': '8', 'Size': '11.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Pentium Dual Core N4200', 'Base Clock Speed': '1.1 GHz', 'Cache': '2MB', 'RAM': '4GB', 'RAM Slots': '1', 'Expandable RAM up to (GB)': '8GB', 'Graphics Processor': 'Intel Integrated HD Graphics 505', 'Dedicated Graphics': 'No', 'Hard disk': 'No', 'SSD': 'No', 'Bluetooth version': '4.1', 'Web Camera': '0.3-megapixel', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': '2 Speakers', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'USB Ports': '2 x USB 3.0', 'Multi Card Slot': '1 Micro SD Card Reader', 'Mic In': 'Yes'}"
Lenovo IdeaPad 310 15Isk,https://www.gadgets360.com/lenovo-ideapad-310-15isk-8007,"₹ 23,850",15.60-inch,1920x1080 pixels,Core i3,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 310 15Isk', 'Price in India': '₹23,850', 'Model Number': '310 15Isk', 'Series': 'IdeaPad', 'Dimensions (mm)': '501.00 x 66.00 x 333.00', 'Weight (kg)': '2.3', 'Colours': 'Red', 'Operating system': 'Windows 10', 'Battery Capacity (WHR)': '30', 'Battery Cell': '2', 'Battery Life (up to hours)': '4', 'Size': '15.60-inch', 'Resolution': '1920x1080 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Core i3 6th Gen 6006U', 'Base Clock Speed': '2 GHz', 'Cache': '3MB', 'RAM': '8GB', 'RAM Slots': '2', 'Expandable RAM up to (GB)': '16GB', 'Graphics Processor': 'AMD Radeon R5', 'Dedicated Graphic Memory Type': 'DDR4', 'Hard disk': '1TB', 'SSD': 'No', 'Bluetooth version': '4.1', 'Ethernet': 'Yes', 'Web Camera': 'Yes', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'No', 'HDMI Port': 'Standard', 'Multi Card Slot': 'Multi Format Card Reader', 'VGA Port': 'Yes', 'Mic In': 'Yes', 'RJ45 (LAN)': 'Yes'}"
Lenovo IdeaPad 300 15Ibr,https://www.gadgets360.com/lenovo-ideapad-300-15ibr-8006,N/A,15.60-inch,N/A,Celeron Dual Core,Windows 10,No,2.30 kg,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 300 15Ibr', 'Price in India': '₹19,000', 'Model Number': '300 15Ibr', 'Series': 'IdeaPad', 'Dimensions (mm)': '384.00 x 265.00 x 23.00', 'Weight (kg)': '2.3', 'Colours': 'Black', 'Operating system': 'Windows 10', 'Size': '15.60-inch', 'Processor': 'Intel Celeron Dual Core N3060', 'Base Clock Speed': '1.6 GHz', 'RAM': '4GB', 'Dedicated Graphic Memory Type': 'DDR3', 'Hard disk': '500GB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
Lenovo IdeaPad 120S 11Iap,https://www.gadgets360.com/lenovo-ideapad-120s-11iap-8005,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 120S 11Iap', 'Price in India': '₹17,004', 'Model Number': '120S 11Iap', 'Series': 'IdeaPad', 'Dimensions (mm)': '288.00 x 200.00 x 20.90', 'Weight (kg)': '1.27', 'Colours': 'Mineral Grey', 'Operating system': 'Windows 10', 'Battery Cell': '2', 'Battery Life (up to hours)': '6', 'Size': '11.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Celeron Dual Core N3350', 'Base Clock Speed': '1.1 GHz', 'Cache': '2MB', 'RAM': '4GB', 'RAM Slots': '1', 'Expandable RAM up to (GB)': '8GB', 'Graphics Processor': 'Intel Integrated HD Graphics', 'Dedicated Graphics': 'No', 'Hard disk': '500GB', 'SSD': 'No', 'Bluetooth version': '4', 'Web Camera': '0.3-megapixel', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': '2 Speakers', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'USB Ports': '2 x USB 3.0', 'Mic In': 'Yes'}"
Lenovo IdeaPad Ideapad,https://www.gadgets360.com/lenovo-ideapad-ideapad-8004,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,No,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad Ideapad', 'Price in India': '₹43,623', 'Model Number': 'Ideapad', 'Series': 'IdeaPad', 'Dimensions (mm)': '51.10 x 31.90 x 6.80', 'Weight (kg)': '1.86', 'Colours': 'Platinum Grey', 'Operating system': 'Windows 10', 'Size': '15.60-inch', 'Resolution': '1920x1080 pixels', 'Processor': 'Intel Core i5 8th Gen', 'Base Clock Speed': '2.2 GHz', 'RAM': '12GB', 'Dedicated Graphic Memory Type': 'DDR4', 'Hard disk': '2TB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 a/b/g/n/ac', 'Bluetooth version': '4.1', 'Ethernet': '10/100/1000 Base T', 'Speakers': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'HDMI Port': 'Standard', 'VGA Port': 'No', 'Mic In': 'Yes', 'RJ45 (LAN)': 'Yes', 'RJ11': 'No'}"
Lenovo IdeaPad 120,https://www.gadgets360.com/lenovo-ideapad-120-8003,"₹ 22,990",14.00-inch,N/A,Pentium Dual Core,Windows 10,128GB,1.44 kg,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 120', 'Model Number': '120', 'Series': 'IdeaPad', 'Dimensions (mm)': '334.00 x 235.00 x 48.26', 'Weight (kg)': '1.44', 'Colours': 'Grey', 'Operating system': 'Windows 10', 'Size': '14.00-inch', 'Processor': 'Intel Pentium Dual Core n4200', 'RAM': '4GB', 'Hard disk': 'No', 'SSD': '128GB', 'Finger Print Sensor': 'No'}"
Lenovo IdeaPad 320S,https://www.gadgets360.com/lenovo-ideapad-320s-8001,N/A,14.00-inch,N/A,Core i3,Windows 10 Home,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 320S', 'Price in India': '₹31,990', 'Model Number': '320S', 'Series': 'IdeaPad', 'Colours': 'Platinum Grey', 'Operating system': 'Windows 10 Home', 'Size': '14.00-inch', 'Processor': 'Intel Core i3', 'RAM': '4GB', 'Hard disk': '1TB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
Lenovo IdeaPad 320,https://www.gadgets360.com/lenovo-ideapad-320-8000,N/A,15.60-inch,N/A,APU Quad Core A12,Windows 10,N/A,N/A,"{'Brand': 'Lenovo', 'Model': 'IdeaPad 320', 'Price in India': '₹25,490', 'Model Number': '320', 'Series': 'IdeaPad', 'Colours': 'Platinum Grey', 'Operating system': 'Windows 10', 'Size': '15.60-inch', 'Processor': 'AMD APU Quad Core A12', 'RAM': '8GB', 'Hard disk': '1TB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
Lenovo G50,https://www.gadgets360.com/lenovo-g50-7998,N/A,15.60-inch,N/A,Core i3,Windows 8.1,No,N/A,"{'Brand': 'Lenovo', 'Model': 'G50', 'Price in India': '₹36,500', 'Model Number': 'G50', 'Dimensions (mm)': '51.50 x 32.20 x 6.60', 'Weight (kg)': '2.99', 'Colours': 'Black', 'Operating system': 'Windows 8.1', 'Battery Life (up to hours)': '4', 'Size': '15.60-inch', 'Touch Screen': 'No', 'Processor': 'Intel Core i3 4th Gen 4030U', 'Base Clock Speed': '1.9 GHz', 'RAM': '4GB', 'Dedicated Graphic Memory Type': 'DDR3', 'Hard disk': '1TB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 b/g/n', 'Ethernet': '10/100', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No'}"
Acer Aspire A515,https://www.gadgets360.com/acer-aspire-a515-7997,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,N/A,N/A,"{'Brand': 'Acer', 'Model': 'Aspire A515', 'Price in India': '₹37,990', 'Model Number': 'A515', 'Series': 'Aspire', 'Dimensions (mm)': '381.60 x 263.00 x 20.95', 'Weight (kg)': '2.2', 'Colours': 'Black', 'Operating system': 'Windows 10', 'Battery Cell': '4', 'Battery Life (up to hours)': '7', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Core i5 8th Gen 8250U', 'Base Clock Speed': '1.6 GHz', 'Cache': '6MB', 'RAM': '8GB', 'Expandable RAM up to (GB)': '16GB', 'Graphics Processor': 'Nvidia GeForce MX150', 'Dedicated Graphic Memory Type': 'GDDR5', 'Hard disk': 'No', 'SSD': '256GB', 'Wi-Fi standards supported': '802.11 a/b/g/n/ac', 'Bluetooth version': '4', 'Ethernet': 'Gigabit Ethernet', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Stereo Speakers', 'Finger Print Sensor': 'No', 'Number of USB Ports': '3', 'USB Ports': '1 x USB 2.0, 1 x USB 3.0', 'HDMI Port': 'Standard', 'Mic In': 'Yes', 'RJ45 (LAN)': 'Yes'}"
Asus VivoBook R542UR-DM257T,https://www.gadgets360.com/asus-vivobook-r542ur-dm257t-7996,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A,"{'Brand': 'Asus', 'Model': 'VivoBook R542UR-DM257T', 'Price in India': '₹44,500', 'Model Number': 'R542UR-DM257T', 'Series': 'VivoBook', 'Dimensions (mm)': '380.00 x 251.00 x 23.20', 'Weight (kg)': '1.8', 'Colours': 'Champagne', 'Operating system': 'Windows 10', 'Battery Life (up to hours)': '4.5', 'Size': '15.60-inch', 'Resolution': '1920x1080 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Core i5 7th Gen 7200U', 'Base Clock Speed': '2.5 GHz', 'RAM': '4GB', 'RAM Slots': '2', 'Expandable RAM up to (GB)': '24GB', 'Graphics Processor': 'Nvidia GeForce 940MX', 'Dedicated Graphic Memory Type': 'GDDR5', 'Hard disk': '1TB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 b/g/n', 'Bluetooth version': '4', 'Ethernet': '10/100/1000 Base T', 'Web Camera': '0.3-megapixel', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '4', 'USB Ports': '1 x USB 2.0, 2 x USB 3.0', 'VGA Port': 'Yes', 'Mic In': 'Yes', 'RJ45 (LAN)': 'Yes'}"
Asus VivoBook E203NAH-FD081T,https://www.gadgets360.com/asus-vivobook-e203nah-fd081t-7995,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,N/A,"{'Brand': 'Asus', 'Model': 'VivoBook E203NAH-FD081T', 'Price in India': '₹21,990', 'Model Number': 'E203NAH-FD081T', 'Series': 'VivoBook', 'Dimensions (mm)': '190.50 x 250.00 x 43.70', 'Weight (kg)': '1.88', 'Colours': 'White', 'Operating system': 'Windows 10', 'Battery Cell': '3', 'Battery Life (up to hours)': '10', 'Size': '11.60-inch', 'Resolution': '1366x768 pixels', 'Touch Screen': 'No', 'Processor': 'Intel Celeron Dual Core 7th Gen N3350', 'Base Clock Speed': '1.1 GHz', 'Cache': '2MB', 'RAM': '2GB', 'Graphics Processor': 'Intel Integrated HD Graphics', 'Dedicated Graphics': 'No', 'Hard disk': '500GB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 b/g/n', 'Bluetooth version': '4', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '2', 'USB Ports': '2 x USB 3.0'}"
Asus UX430UN-GV059T,https://www.gadgets360.com/asus-ux430un-gv059t-7994,"₹ 91,104",14.00-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A,"{'Brand': 'Asus', 'Model': 'UX430UN-GV059T', 'Price in India': '₹91,104', 'Model Number': 'UX430UN-GV059T', 'Colours': 'Grey', 'Operating system': 'Windows 10', 'Battery Capacity (WHR)': '50', 'Battery Cell': '3', 'Size': '14.00-inch', 'Resolution': '1920x1080 pixels', 'Processor': 'Intel Core i7 8550U', 'Base Clock Speed': '1.8 GHz', 'Cache': '8MB', 'RAM': '8GB', 'RAM Slots': '2', 'Expandable RAM up to (GB)': '8GB', 'Graphics Processor': 'GeForce MX150', 'Dedicated Graphic Memory Type': 'DDR3', 'Hard disk': '512GB', 'SSD': 'No', 'Bluetooth version': '4.1', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '1', 'USB Ports': '1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.0 (Type C), 1 x USB 3.1 Gen 1 (Type C)', 'HDMI Port': 'Standard'}"
Asus X553MA-BING-XX538B,https://www.gadgets360.com/asus-x553ma-bing-xx538b-7993,"₹ 22,784",15.60-inch,1366x768 pixels,Pentium Dual Core,Windows 8.1,No,N/A,"{'Brand': 'Asus', 'Model': 'X553MA-BING-XX538B', 'Price in India': '₹22,784', 'Model Number': 'X553MA-BING-XX538B', 'Series': 'X Series', 'Colours': 'Black', 'Operating system': 'Windows 8.1', 'Battery Cell': '2', 'Battery Life (up to hours)': '4.5', 'Size': '15.60-inch', 'Resolution': '1366x768 pixels', 'Processor': 'Intel Pentium Dual Core 4th Gen', 'Base Clock Speed': '2.16 GHz', 'Cache': '2MB', 'RAM': '2GB', 'RAM Slots': '1', 'Graphics Processor': 'Intel HD Graphics 4000', 'Dedicated Graphic Memory Type': 'DDR3', 'Dedicated Graphics': 'No', 'Hard disk': '500GB', 'SSD': 'No', 'Wi-Fi standards supported': '802.11 b/g/n', 'Bluetooth version': '4', 'Ethernet': '10/100', 'Web Camera': '1.3-megapixel', 'Internal Mic': 'Yes', 'Finger Print Sensor': 'No', 'Number of USB Ports': '1', 'USB Ports': '1 x USB 2.0', 'Mic In': 'Yes'}"
Asus VivoBook S14 S410UA-EB629T,https://www.gadgets360.com/asus-vivobook-s14-s410ua-eb629t-7991,N/A,14.00-inch,N/A,Core i3,Windows 10 Home,N/A,N/A,"{'Brand': 'Asus', 'Model': 'VivoBook S14 S410UA-EB629T', 'Price in India': '₹44,990', 'Model Number': 'S14 S410UA-EB629T', 'Series': 'VivoBook', 'Colours': 'Grey', 'Operating system': 'Windows 10 Home', 'Size': '14.00-inch', 'Processor': 'Intel Core i3', 'RAM': '8GB', 'Hard disk': '256GB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
Asus VivoBook S14 S410UA-EB630T,https://www.gadgets360.com/asus-vivobook-s14-s410ua-eb630t-7990,N/A,14.00-inch,N/A,Core i5,Windows 10 Home,N/A,N/A,"{'Brand': 'Asus', 'Model': 'VivoBook S14 S410UA-EB630T', 'Price in India': '₹62,990', 'Model Number': 'S14 S410UA-EB630T', 'Series': 'VivoBook', 'Colours': 'Gold', 'Operating system': 'Windows 10 Home', 'Size': '14.00-inch', 'Processor': 'Intel Core i5', 'RAM': '8GB', 'Hard disk': '256GB', 'SSD': 'No', 'Finger Print Sensor': 'No'}"
