Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
Dell Latitude 7455,https://www.gadgets360.com/dell-latitude-7455-price-in-india-127362,"₹ 159,990",14.00-inch,2560x1600 pixels,Snapdragon,Windows 11 Pro,512GB,N/A
HP OmniBook X,https://www.gadgets360.com/hp-omnibook-x-price-in-india-127287,N/A,14.00-inch,"2,240x1,400 pixels",Snapdragon X Elite,Windows 11,1TB,N/A
Acer Aspire 3D 15 Spatiallabs,https://www.gadgets360.com/acer-aspire-3d-15-spatiallabs-price-in-india-127248,"₹ 149,999",15.60-inch,1920x2160 pixels,Core i7,Windows 11,N/A,N/A
"Asus Vivobook S 15 OLED (2024, Copilot+)",https://www.gadgets360.com/asus-vivobook-s-15-oled-2024-copilot-plus-price-in-india-126889,"₹ 124,990",15.60-inch,2880x1620 pixels,Snapdragon X Elite,Windows 11,N/A,N/A
Infinix ZeroBook Ultra,https://www.gadgets360.com/infinix-zerobook-ultra-price-in-india-126775,"₹ 59,990",15.60-inch,1080x1920 pixels,Intel Core Ultra 5,N/A,N/A,N/A
Lenovo Yoga Pro 7i,https://www.gadgets360.com/lenovo-yoga-pro-7i-price-in-india-126624,"₹ 150,000",14.50-inch,2880x1800 pixels,Intel Core Ultra 7,Windows 11,N/A,N/A
Acer ALG Gaming Laptop,https://www.gadgets360.com/acer-alg-gaming-laptop-price-in-india-126395,"₹ 56,990",15.60-inch,1920x1080 pixels,Core,Windows 11,N/A,N/A
Asus Vivobook S 14 OLED 2024,https://www.gadgets360.com/asus-vivobook-s-14-oled-2024-price-in-india-126044,"₹ 89,990",14.00-inch,3200x2000 pixels,Ryzen 5,Windows 11,1TB,1.30 kg
Asus Vivobook S 15 OLED (2024),https://www.gadgets360.com/asus-vivobook-s-15-oled-2024-price-in-india-126043,"₹ 96,990",15.60-inch,3200x2000 pixels,Intel Core Ultra 5,Windows 11,1TB,N/A
Asus Vivobook S 16 OLED 2024,https://www.gadgets360.com/asus-vivobook-s-16-oled-2024-price-in-india-126042,"₹ 102,990",16.00-inch,3200x2000 pixels,Intel Core Ultra 5,Windows 11 Pro,1TB,N/A
Infinix GT Book,https://www.gadgets360.com/infinix-gt-book-price-in-india-126010,N/A,16.00-inch,1920x1200 pixels,Core i9,N/A,1TB,N/A
Dell Latitude 7450 2-in-1,https://www.gadgets360.com/dell-dell-latitude-7450-2-in-1-price-in-india-127992,"₹ 154,999",14.00-inch,1900x1200 pixels,Intel Core Ultra 7,Windows 11,N/A,N/A
Lenovo Yoga 7i 2-in-1 (Core Ultra 7),https://www.gadgets360.com/lenovo-yoga-7i-2-in-1-core-ultra-7-price-in-india-126367,"₹ 119,990",14.00-inch,1920x1200 pixels,Intel Core Ultra 7,Windows 11,1TB,N/A
Lenovo Yoga 7i 2-in-1,https://www.gadgets360.com/lenovo-yoga-7i-2-in-1-price-in-india-126366,"₹ 101,990",14.00-inch,1920x1200 pixels,Intel Core Ultra 5,Windows 11,1TB,N/A
Dell Alienware X16 R2,https://www.gadgets360.com/dell-alienware-x16-r2-price-in-india-125641,"₹ 286,990",16.00-inch,2560x1600 pixels,Intel Core Ultra 7,Windows 11,4TB,N/A
Lenovo IdeaPad Pro 5i,https://www.gadgets360.com/lenovo-ideapad-pro-5i-price-in-india-125586,"₹ 109,990",14.00-inch,2880x1800 pixels,Intel Core Ultra 9,Windows 11 Pro,1TB,N/A
Dell Inspiron 14 Plus,https://www.gadgets360.com/dell-inspiron-14-plus-price-in-india-125316,"₹ 105,999",14.00-inch,1400x2240 pixels,N/A,Windows 11,1TB,N/A
Dell Alienware m16 R2,https://www.gadgets360.com/dell-alienware-m16-r2-price-in-india-125315,N/A,16.00-inch,2560x1600 pixels,Intel Core Ultra 9,Windows 11,1TB,N/A
HP Envy x360 14,https://www.gadgets360.com/hp-envy-x360-14-price-in-india-125170,"₹ 99,999",14.00-inch,"1,800x2,880 pixels",Intel Core Ultra 7,Windows 11,1TB,N/A
Acer Predator Helios Neo 16 (2024),https://www.gadgets360.com/acer-predator-helios-neo-16-price-in-india-117131,N/A,16.00-inch,2560x1600 pixels,Core,Windows 11,N/A,N/A
"Apple MacBook Air 15-inch (M3, 2024)",https://www.gadgets360.com/apple-macbook-air-15-inch-m3-2024-price-in-india-129000,"₹ 134,900",15.30-inch,2880x1864 pixels,Apple M3,macOS,N/A,N/A
"Apple MacBook Air 13-inch (M3, 2024)",https://www.gadgets360.com/apple-macbook-air-13-inch-m3-2024-price-in-india-128999,"₹ 114,900",13.60-inch,2560x1664 pixels,Apple M3,macOS,N/A,N/A
Samsung Galaxy Book 4 (Intel Core 7),https://www.gadgets360.com/samsung-galaxy-book-4-intel-core-7-price-in-india-125022,"₹ 85,990",15.60-inch,1920x1080 pixels,N/A,Windows 11,512GB,1.55 kg
Samsung Galaxy Book 4,https://www.gadgets360.com/samsung-galaxy-book-4-price-in-india-125016,"₹ 70,990",15.60-inch,1920x1080 pixels,N/A,Windows 11,512GB,1.55 kg
Asus Vivobook 15 (2024),https://www.gadgets360.com/asus-vivobook-15-2024-price-in-india-124769,"₹ 49,990",15.60-inch,1920x1080 pixels,Core i5,N/A,1TB,N/A
Asus Zenbook S 13 OLED (2024),https://www.gadgets360.com/asus-zenbook-s-13-oled-ux5304ma-price-in-india-124768,"₹ 129,990",13.30-inch,2880x1800 pixels,Intel Core Ultra 7,N/A,1TB,N/A
