Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
Acer Aspire E ES-11 ES1-132-C8G1,https://www.gadgets360.com/acer-aspire-e-es-11-es1-132-c8g1-8158,N/A,11.60-inch,N/A,Celeron Dual Core,Windows 10,No,2.00 kg
Asus VivoBook X542UN-DM087T,https://www.gadgets360.com/asus-vivobook-x542un-dm087t-8157,"₹ 54,990",15.60-inch,N/A,Core i5,Windows 10,No,3.04 kg
Acer Predator Helios 300 PH315-51,https://www.gadgets360.com/acer-predator-helios-300-ph315-51-8156,N/A,15.60-inch,N/A,Core i5,Windows 10 Home,No,2.70 kg
Acer A515-51-5398,https://www.gadgets360.com/acer-a515-51-5398-8155,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,No,N/A
HP Envy 13-AD010NR,https://www.gadgets360.com/hp-envy-13-ad010nr-8154,N/A,13.30-inch,1920x1080 pixels,Core i7,Windows 10 Home,N/A,N/A
HP EliteBook 850,https://www.gadgets360.com/hp-elitebook-850-8153,"₹ 184,757",15.60-inch,N/A,Core i5,N/A,No,N/A
Asus VivoBook Max F541NA-GO653T,https://www.gadgets360.com/asus-vivobook-max-f541na-go653t-8152,N/A,15.60-inch,N/A,Celeron Dual Core,Windows 10,No,2.68 kg
Asus TUF FX504GM-E4112T,https://www.gadgets360.com/asus-tuf-fx504gm-e4112t-8151,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Asus Q505UA,https://www.gadgets360.com/asus-q505ua-8150,"₹ 111,272",15.60-inch,1920x1080 pixels,Core i5,Windows 10 Home,No,N/A
Asus S510UN-EH76,https://www.gadgets360.com/asus-s510un-eh76-8149,N/A,15.60-inch,N/A,Core i7,Windows 10,256GB,1.68 kg
Acer Swift 3 SF314-52G-55WQ,https://www.gadgets360.com/acer-swift-3-sf314-52g-55wq-8148,N/A,14.00-inch,1920x1080 pixels,Core i5,Windows 10 Home,256GB,N/A
Acer Switch 5 SW512-52-55YD,https://www.gadgets360.com/acer-switch-5-sw512-52-55yd-8147,N/A,12.00-inch,2160x1440 pixels,Core i5,Windows 10 Home,256GB,N/A
Acer Aspire,https://www.gadgets360.com/acer-aspire-8146,"₹ 79,979",15.60-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Acer Aspire E 17 E5-772G-52Q7,https://www.gadgets360.com/acer-aspire-e-17-e5-772g-52q7-8144,N/A,17.30-inch,1920x1080 pixels,Core i5,Windows 10,No,N/A
Asus ROG Zephyrus M GM501GM-EI005T,https://www.gadgets360.com/asus-rog-zephyrus-m-gm501gm-ei005t-8143,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Asus ROG Zephyrus M GM501GS-EI004T,https://www.gadgets360.com/asus-rog-zephyrus-m-gm501gs-ei004t-8142,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Asus VivoBook E203NA-DH02,https://www.gadgets360.com/asus-vivobook-e203na-dh02-8141,N/A,11.60-inch,N/A,Celeron Dual Core,Windows 10 Home,32GB,0.90 kg
Acer Nitro 5 AN515-51-5594,https://www.gadgets360.com/acer-nitro-5-an515-51-5594-8140,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10 Home,N/A,N/A
Dell Inspiron 15 5000 5570,https://www.gadgets360.com/dell-inspiron-15-5000-5570-8139,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Asus X507UA,https://www.gadgets360.com/asus-x507ua-8138,"₹ 32,294",15.60-inch,N/A,Core i3,Windows 10,N/A,N/A
Asus TUF FX504GE-EN335T,https://www.gadgets360.com/asus-tuf-fx504ge-en335t-8137,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10 Home,N/A,N/A
Dell G3 15 3579,https://www.gadgets360.com/dell-g3-15-3579-8136,N/A,15.60-inch,N/A,Core i7,Windows 10,128GB,2.53 kg
Acer A515-51G-5067,https://www.gadgets360.com/acer-a515-51g-5067-8135,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,256GB,N/A
Acer ChromeBook C771T-C1WS,https://www.gadgets360.com/acer-chromebook-c771t-c1ws-8134,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Chrome OS,32GB,N/A
Dell 5480 AD,https://www.gadgets360.com/dell-5480-ad-8133,N/A,14.00-inch,N/A,Core i7,Windows 10,N/A,N/A
HP 745EBG3 A108700B,https://www.gadgets360.com/hp-745ebg3-a108700b-8132,N/A,14.00-inch,N/A,N/A,N/A,256GB,2.27 kg
HP EliteBook 840,https://www.gadgets360.com/hp-elitebook-840-8131,N/A,14.00-inch,N/A,Core i5,N/A,No,N/A
Acer Aspire 3,https://www.gadgets360.com/acer-aspire-3-8130,"₹ 66,606",15.60-inch,1366x768 pixels,Core i5,Windows 10 Professional,N/A,N/A
Asus TUF FX504GD-E4021T,https://www.gadgets360.com/asus-tuf-fx504gd-e4021t-8129,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Asus ChromeBook C101PA-DB02,https://www.gadgets360.com/asus-chromebook-c101pa-db02-8128,"₹ 37,947",10.10-inch,1280x800 pixels,APU Quad Core,Chrome OS,No,N/A
Acer Tx5Z8350,https://www.gadgets360.com/acer-tx5z8350-8127,N/A,10.10-inch,N/A,N/A,Windows 10,No,N/A
Acer TravelMate TMP459-M-782M,https://www.gadgets360.com/acer-travelmate-tmp459-m-782m-8126,"₹ 103,708",15.60-inch,1920x1080 pixels,Core i7,Windows 7 Professional,No,N/A
Asus P2530UA-XH31,https://www.gadgets360.com/asus-p2530ua-xh31-8125,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10,No,N/A
Acer Aspire F F5-573-55W1,https://www.gadgets360.com/acer-aspire-f-f5-573-55w1-8124,N/A,15.60-inch,N/A,Core i5,Windows 10,No,N/A
Asus ROG Strix Hero II GL504GS-DS74,https://www.gadgets360.com/asus-rog-strix-hero-ii-gl504gs-ds74-8123,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,N/A,N/A
Acer A515-51G,https://www.gadgets360.com/acer-a515-51g-8122,N/A,15.60-inch,N/A,Core i5,Windows 10,N/A,N/A
Asus X507UA-EJ215T,https://www.gadgets360.com/asus-x507ua-ej215t-8121,"₹ 29,590",15.60-inch,1920x1080 pixels,Core i3,Windows 10 Home,N/A,N/A
Asus VivoBook Flip 15 TP510UA-RH31T,https://www.gadgets360.com/asus-vivobook-flip-15-tp510ua-rh31t-8119,N/A,15.60-inch,1920x1080 pixels,Core i3,Windows 10 Home,No,N/A
Asus VivoBook S X510UN-EJ328T,https://www.gadgets360.com/asus-vivobook-s-x510un-ej328t-8118,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Dell G7 7588,https://www.gadgets360.com/dell-g7-7588-8117,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,256GB,N/A
HP NoteBook 15-ay554tu,https://www.gadgets360.com/hp-notebook-15-ay554tu-8116,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Acer Aspire A515-51G-51J7,https://www.gadgets360.com/acer-aspire-a515-51g-51j7-8115,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,N/A,N/A
Dell Inspiron 15 3000 3567,https://www.gadgets360.com/dell-inspiron-15-3000-3567-8114,"₹ 76,766",15.60-inch,1366x768 pixels,Core i3,Windows 10,512GB,N/A
Asus VivoBook X510UN-EJ327T,https://www.gadgets360.com/asus-vivobook-x510un-ej327t-8112,"₹ 103,183",15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Alienware AAW17R4-7002SLV-PUS,https://www.gadgets360.com/alienware-aaw17r4-7002slv-pus-8111,N/A,17.00-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
HP Omen 17,https://www.gadgets360.com/hp-omen-17-8110,N/A,17.30-inch,1920x1080 pixels,Core i7,Windows 10,N/A,N/A
Acer Aspire 5 A515-51G-53V6,https://www.gadgets360.com/acer-aspire-5-a515-51g-53v6-8109,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,N/A,N/A
Asus TUF FX504GE-US52,https://www.gadgets360.com/asus-tuf-fx504ge-us52-8108,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10 Home,N/A,N/A
Asus VivoBook E203MA-YS03,https://www.gadgets360.com/asus-vivobook-e203ma-ys03-8106,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,0.90 kg
Asus VivoBook X541UA,https://www.gadgets360.com/asus-vivobook-x541ua-8105,"₹ 72,867",15.60-inch,N/A,Core i5,Windows 10,No,2.00 kg
Acer Spin 5 SP513-52N-5621,https://www.gadgets360.com/acer-spin-5-sp513-52n-5621-8104,"₹ 61,990",13.30-inch,1920x1080 pixels,Core i5,Windows 10 Home,256GB,N/A
Asus X540UA-DH31,https://www.gadgets360.com/asus-x540ua-dh31-8103,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A
Asus P2540NV-YH21,https://www.gadgets360.com/asus-p2540nv-yh21-8102,N/A,15.60-inch,1366x768 pixels,Pentium Dual Core,Windows 10,No,N/A
Acer Aspire E15 E5-576,https://www.gadgets360.com/acer-aspire-e-e15-e5-576-8101,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A
Asus VivoBook R507UA-EJ216T,https://www.gadgets360.com/asus-vivobook-r507ua-ej216t-8100,N/A,15.60-inch,1920x1080 pixels,Core i3,Windows 10,No,N/A
Dell Inspiron 15 7577,https://www.gadgets360.com/dell-inspiron-15-7577-8098,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Asus ROG Strix Scar GL503GE-RS71,https://www.gadgets360.com/asus-rog-strix-scar-gl503ge-rs71-8097,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Asus ROG Strix GL702ZC-WB74,https://www.gadgets360.com/asus-rog-strix-gl702zc-wb74-8096,N/A,17.30-inch,1920x1080 pixels,N/A,Windows 10,256GB,N/A
Asus VivoBook S510UN-BQ147T,https://www.gadgets360.com/asus-vivobook-s510un-bq147t-8094,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,N/A,N/A
Dell Latitude 15 3000 5580,https://www.gadgets360.com/dell-latitude-15-3000-5580-8093,"₹ 149,564",15.60-inch,1366x768 pixels,Core i5,Windows 10,No,N/A
Dell Latitude 7480 4HCNK,https://www.gadgets360.com/dell-latitude-7480-4hcnk-8092,N/A,14.00-inch,1920x1080 pixels,Core i5,Windows 10,256GB,N/A
Asus NovaGo TP370QL-6G128G,https://www.gadgets360.com/asus-novago-tp370ql-6g128g-8091,N/A,13.30-inch,1920x1080 pixels,APU Quad Core,Windows 10,128GB,N/A
Dell Inspiron 13 5000,https://www.gadgets360.com/dell-inspiron-13-5000-8090,N/A,13.30-inch,1920x1080 pixels,Core i7,Windows 10,N/A,N/A
Dell Inspiron 15 7000,https://www.gadgets360.com/dell-inspiron-15-7000-8089,"₹ 219,184",15.60-inch,1920x1080 pixels,Core i7,Windows 10,256GB,N/A
Dell Inspiron 17 5000 5767,https://www.gadgets360.com/dell-inspiron-17-5000-5767-8088,"₹ 157,269",17.30-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Lenovo G70 80,https://www.gadgets360.com/lenovo-g70-80-8087,N/A,17.30-inch,1600x900 pixels,Core i5,Windows 10,No,N/A
Dell Inspiron I5559-4013SLV,https://www.gadgets360.com/dell-inspiron-i5559-4013slv-8086,"₹ 79,096",15.60-inch,N/A,Core i5,Windows 10,No,N/A
HP NoteBook 15-BA001DS,https://www.gadgets360.com/hp-notebook-15-ba001ds-8085,"₹ 45,572",15.60-inch,1366x768 pixels,N/A,N/A,No,2.15 kg
Asus GL703VM-WB71,https://www.gadgets360.com/asus-gl703vm-wb71-8084,N/A,17.30-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Acer Predator 15 G9-593-71EH,https://www.gadgets360.com/acer-predator-15-g9-593-71eh-8083,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,N/A,N/A
Acer ChromeBook 14 CB3-431-C5FM,https://www.gadgets360.com/acer-chromebook-14-cb3-431-c5fm-8082,"₹ 35,499",14.00-inch,1920x1080 pixels,Celeron Dual Core,Chrome OS,No,N/A
Dell Inspiron 11Z 1121,https://www.gadgets360.com/dell-inspiron-11z-1121-8081,"₹ 25,461",11.60-inch,1366x768 pixels,Core i3,Windows 8,N/A,N/A
Dell XPS 13ULT-7857SLV,https://www.gadgets360.com/dell-xps-13ult-7857slv-8080,N/A,13.30-inch,1920x1080 pixels,Core i7,Windows 8,256GB,N/A
Acer Aspire V5-9899,https://www.gadgets360.com/acer-aspire-v5-9899-8079,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 8.1,No,N/A
Dell Inspiron 15R-I15RM-5128SLV,https://www.gadgets360.com/dell-inspiron-15r-i15rm-5128slv-8078,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,512GB,N/A
Acer TravelMate TMP245-MP-3446,https://www.gadgets360.com/acer-travelmate-tmp245-mp-3446-8077,"₹ 59,276",14.00-inch,1366x768 pixels,Core i3,Windows 8.1 Professional,No,N/A
Acer TravelMate TMB115-M-C99B,https://www.gadgets360.com/acer-travelmate-tmb115-m-c99b-8076,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Windows 8.1,No,N/A
Acer Aspire TMP256-M-P8YQ,https://www.gadgets360.com/acer-aspire-tmp256-m-p8yq-8075,N/A,15.60-inch,1366x768 pixels,Pentium Dual Core,Windows 7 Professional,No,N/A
Asus ZenBook UX305FA-RBM1-GD,https://www.gadgets360.com/asus-zenbook-ux305fa-rbm1-gd-8074,N/A,13.30-inch,N/A,Core M,Windows 8.1,256GB,N/A
Asus X552CL-XX220D,https://www.gadgets360.com/asus-x552cl-xx220d-8073,"₹ 29,999",15.60-inch,1366x768 pixels,Core i3,DOS,N/A,N/A
Asus ZenBook Pro UX501JW-DH71T-WX,https://www.gadgets360.com/asus-zenbook-pro-ux501jw-dh71t-wx-8071,"₹ 133,232",15.00-inch,3840x2160 pixels,Core i7,Windows 10,N/A,N/A
Lenovo IdeaPad N3540,https://www.gadgets360.com/lenovo-ideapad-n3540-8070,N/A,15.60-inch,1366x768 pixels,Pentium Dual Core,Windows 10,No,N/A
Dell AW15R3-7376SLV-PUS,https://www.gadgets360.com/dell-aw15r3-7376slv-pus-8069,"₹ 219,300",15.60-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Acer ChromeBook 14 CP5-471-35T4,https://www.gadgets360.com/acer-chromebook-14-cp5-471-35t4-8068,N/A,14.00-inch,1366x768 pixels,Core i3,Chrome OS,N/A,N/A
Lenovo IdeaPad 14,https://www.gadgets360.com/lenovo-ideapad-14-8067,N/A,14.00-inch,1366x768 pixels,Celeron Dual Core,Windows 10,64GB,N/A
Dell Precision 5520,https://www.gadgets360.com/dell-precision-5520-8066,N/A,15.60-inch,3840x2160 pixels,Core i7,Windows 10 Professional,512GB,N/A
Acer Nitro AN515-51-59W0,https://www.gadgets360.com/acer-nitro-an515-51-59w0-8065,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10 Home,N/A,N/A
Dell Inspiron 14 3000,https://www.gadgets360.com/dell-inspiron-14-3000-8064,"₹ 30,632",14.00-inch,1366x768 pixels,Celeron Dual Core,Windows 10 Home,No,N/A
Acer Nitro AN515-51-77VW,https://www.gadgets360.com/acer-nitro-an515-51-77vw-8063,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10 Home,N/A,N/A
Acer Aspire 5,https://www.gadgets360.com/acer-aspire-5-8062,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A
Apple MacBook Pro ME866HN/A,https://www.gadgets360.com/apple-macbook-pro-me866hn-a-8061,"₹ 286,062",13.30-inch,2560x1600 pixels,Core i5,macOS,N/A,N/A
Dell 5575,https://www.gadgets360.com/dell-5575-8060,N/A,15.60-inch,1920x1080 pixels,N/A,Windows 10,No,N/A
Dell XPS 9560,https://www.gadgets360.com/dell-xps-9560-8059,N/A,15.60-inch,3860x2160 pixels,Core i5,Windows 10,512GB,N/A
Dell Inspiron,https://www.gadgets360.com/dell-inspiron-8058,N/A,15.60-inch,1920x1080 pixels,APU Quad Core A6,Windows 10,N/A,N/A
HP Elite X2 1012 G1,https://www.gadgets360.com/hp-elite-x2-1012-g1-8057,N/A,12.00-inch,1920x1080 pixels,Core M,Windows 10,N/A,N/A
Asus F554LA-WS71,https://www.gadgets360.com/asus-f554la-ws71-8056,N/A,15.60-inch,1366x768 pixels,Core i7,Windows 8.1,No,N/A
Dell Precision 3520,https://www.gadgets360.com/dell-precision-3520-8055,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10 Home,No,N/A
Dell Inspiron i15RM-7565SLV,https://www.gadgets360.com/dell-inspiron-i15rm-7565slv-8054,N/A,15.60-inch,N/A,N/A,Windows 8,No,N/A
Azom Legion P775DM3-G,https://www.gadgets360.com/azom-leigon-p775dm3-g-8053,N/A,17.30-inch,2560x1440 pixels,Core i7,Windows 10 Professional,No,N/A
Acer ChromeBook C738T-C44Z,https://www.gadgets360.com/acer-chromebook-c738t-c44z-8052,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Chrome OS,N/A,N/A
Acer ChromeBook 15 CB5-571-C1DZ,https://www.gadgets360.com/acer-chromebook-15-cb5-571-c1dz-8051,N/A,15.60-inch,1920x1080 pixels,Celeron Dual Core,Chrome OS,N/A,N/A
Azom Exigo Clevo P750TM1,https://www.gadgets360.com/azom-exigo-clevo-p750tm1-8050,N/A,15.60-inch,1980x1020 pixels,Core i7,Windows 10 Professional,No,N/A
Lenovo IdeaPad 510-15IKB,https://www.gadgets360.com/lenovo-ideapad-510-15ikb-8049,N/A,15.60-inch,N/A,Core i5,Windows 10,No,N/A
Lenovo IdeaPad 310-15ISK,https://www.gadgets360.com/lenovo-ideapad-310-15isk-8048,N/A,15.60-inch,1366x768 pixels,Core i3,DOS,No,N/A
Lenovo IdeaPad 110-15IBR,https://www.gadgets360.com/lenovo-ideapad-110-15ibr-8046,N/A,15.60-inch,1366x768 pixels,Pentium Dual Core,Windows 10,No,N/A
HP 15-da0074tx,https://www.gadgets360.com/hp-15-da0074tx-8045,N/A,15.60-inch,1920x1080 pixels,Core i3,DOS,N/A,N/A
HP 15-BS663TU,https://www.gadgets360.com/hp-15-bs663tu-8044,N/A,15.60-inch,1920x1080 pixels,Core i3,Windows 10,No,N/A
Dell Inspiron 3576,https://www.gadgets360.com/dell-inspiron-3576-8043,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,N/A,N/A
Asus VivoBook X407UA-BV345T,https://www.gadgets360.com/asus-vivobook-x407ua-bv345t-8042,N/A,14.00-inch,1366x768 pixels,Core i3,Windows 10,No,N/A
HP 15Q-DS0001TU,https://www.gadgets360.com/hp-15q-ds0001tu-8041,N/A,15.60-inch,1920x1080 pixels,Pentium Dual Core,DOS,N/A,N/A
HP 15Q-DS0006TU,https://www.gadgets360.com/hp-15q-ds0006tu-8040,N/A,15.60-inch,1920x1080 pixels,Core i3,Windows 10,N/A,N/A
HP 15Q-DS0010TU,https://www.gadgets360.com/hp-15q-ds0010tu-8039,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
HP 15-DA0326TU,https://www.gadgets360.com/hp-15-da0326tu-8038,N/A,15.60-inch,1920x1080 pixels,Core i3,Windows 10,N/A,N/A
HP 15Q-DS0009TU,https://www.gadgets360.com/hp-15q-ds0009tu-8037,N/A,15.60-inch,1920x1080 pixels,Core i5,DOS,N/A,N/A
Acer Aspire A315-51z,https://www.gadgets360.com/acer-aspire-a315-51z-8036,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10 Home,N/A,N/A
Asus VivoBook X540MA-GQ024T,https://www.gadgets360.com/asmis-vivobook-x540ma-gq024t-8035,N/A,15.60-inch,1920x1080 pixels,Celeron Dual Core,Windows 10,No,N/A
HP 15-BU044TU,https://www.gadgets360.com/hp-15-bu044tu-8034,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
HP 15q-ds0004TU,https://www.gadgets360.com/hp-15q-ds0004tu-8033,N/A,15.60-inch,1366x768 pixels,Pentium Quad Core,DOS,N/A,N/A
Asus VivoBook S14 S410UA-EB720T,https://www.gadgets360.com/asus-vivobook-s14-s410ua-eb720t-8032,N/A,14.00-inch,1920x1080 pixels,Core i7,Windows 10 Home,N/A,N/A
Apple MacBook Pro MR932HN/A,https://www.gadgets360.com/apple-macbook-pro-mr932hn-a-8031,N/A,15.40-inch,2880x1800 pixels,Core i7,macOS,N/A,N/A
Apple MacBook Pro MR962HN/A,https://www.gadgets360.com/apple-macbook-pro-mr962hn-a-8030,N/A,15.40-inch,2880x1800 pixels,Core i7,macOS,N/A,N/A
Apple MacBook Pro MR9Q2HN/A,https://www.gadgets360.com/apple-macbook-pro-mr9q2hn-a-8029,N/A,13.30-inch,2560x1600 pixels,Core i5,macOS,N/A,N/A
Acer Nitro AN515-42,https://www.gadgets360.com/acer-nitro-an515-42-8028,N/A,15.60-inch,1920x1080 pixels,N/A,Windows 10 Home,No,N/A
Asus F541UA-XO2230T,https://www.gadgets360.com/asus-f541ua-xo2230t-8027,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10 Home,N/A,N/A
HP 15Q-BW548AU,https://www.gadgets360.com/hp-15q-bw548au-8026,N/A,15.60-inch,1366x768 pixels,N/A,Windows 10,No,N/A
HP 14Q-CS0006TU,https://www.gadgets360.com/hp-14q-cs0006tu-8025,N/A,14.00-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A
Dell Inspiron 15 3000,https://www.gadgets360.com/dell-inspiron-15-3000-8024,N/A,15.60-inch,1920x1080 pixels,Core i3,Windows 10,N/A,N/A
Asus X540MA-GQ098T,https://www.gadgets360.com/asus-x540ma-gq098t-8023,N/A,15.60-inch,1366x768 pixels,Pentium Quad Core,Windows 10 Home,N/A,N/A
Lenovo IdeaPad 130,https://www.gadgets360.com/lenovo-ideapad-130-8022,N/A,15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A
Lenovo IdeaPad Miix 320,https://www.gadgets360.com/lenovo-ideapad-miix-320-8021,N/A,10.10-inch,1280x800 pixels,Atom Quad Core,Windows 10 Home,32GB,N/A
HP 15Q-DY0004AU,https://www.gadgets360.com/hp-15q-dy0004au-8020,N/A,15.60-inch,1366x768 pixels,N/A,Windows 10,No,N/A
Lenovo IdeaPad 330E,https://www.gadgets360.com/lenovo-ideapad-330e-8019,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,No,N/A
Lenovo IdeaPad 530S-14Ikb,https://www.gadgets360.com/lenovo-ideapad-530s-14ikb-8018,N/A,14.00-inch,1920x1080 pixels,Core i5,Windows 10,No,N/A
Lenovo IdeaPad 330S,https://www.gadgets360.com/lenovo-ideapad-330s-8017,N/A,15.60-inch,1366x768 pixels,Core i7,Windows 10 Professional,No,N/A
Lenovo Flex 5 1570,https://www.gadgets360.com/lenovo-flex-5-1570-8016,N/A,15.60-inch,N/A,Core i5,Windows 10,256GB,3.33 kg
Lenovo G51 35,https://www.gadgets360.com/lenovo-g51-35-8014,N/A,15.60-inch,N/A,N/A,N/A,No,3.16 kg
Lenovo G40 30,https://www.gadgets360.com/lenovo-g40-30-8013,"₹ 27,999",14.00-inch,N/A,Pentium Dual Core,Windows 8.1,No,2.50 kg
Lenovo G500,https://www.gadgets360.com/lenovo-g500-8012,N/A,15.60-inch,N/A,Core i5,Windows 8,No,2.50 kg
Lenovo IdeaPad 330,https://www.gadgets360.com/lenovo-ideapad-330-8011,N/A,15.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,N/A
Lenovo IdeaPad 310 15Ikb,https://www.gadgets360.com/lenovo-ideapad-310-15ikb-8010,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,No,N/A
Lenovo IdeaPad 100 15Isk,https://www.gadgets360.com/lenovo-ideapad-100-15isk-8009,"₹ 24,741",15.60-inch,1366x768 pixels,Core i3,Windows 10,N/A,N/A
Lenovo IdeaPad 120S,https://www.gadgets360.com/lenovo-ideapad-120s-8008,N/A,11.60-inch,1366x768 pixels,Pentium Dual Core,Windows 10,N/A,N/A
Lenovo IdeaPad 310 15Isk,https://www.gadgets360.com/lenovo-ideapad-310-15isk-8007,"₹ 23,850",15.60-inch,1920x1080 pixels,Core i3,Windows 10,N/A,N/A
Lenovo IdeaPad 300 15Ibr,https://www.gadgets360.com/lenovo-ideapad-300-15ibr-8006,N/A,15.60-inch,N/A,Celeron Dual Core,Windows 10,No,2.30 kg
Lenovo IdeaPad 120S 11Iap,https://www.gadgets360.com/lenovo-ideapad-120s-11iap-8005,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,N/A
Lenovo IdeaPad Ideapad,https://www.gadgets360.com/lenovo-ideapad-ideapad-8004,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,No,N/A
Lenovo IdeaPad 120,https://www.gadgets360.com/lenovo-ideapad-120-8003,"₹ 22,990",14.00-inch,N/A,Pentium Dual Core,Windows 10,128GB,1.44 kg
Lenovo IdeaPad 320S,https://www.gadgets360.com/lenovo-ideapad-320s-8001,N/A,14.00-inch,N/A,Core i3,Windows 10 Home,N/A,N/A
Lenovo IdeaPad 320,https://www.gadgets360.com/lenovo-ideapad-320-8000,N/A,15.60-inch,N/A,APU Quad Core A12,Windows 10,N/A,N/A
Lenovo G50,https://www.gadgets360.com/lenovo-g50-7998,N/A,15.60-inch,N/A,Core i3,Windows 8.1,No,N/A
Acer Aspire A515,https://www.gadgets360.com/acer-aspire-a515-7997,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,N/A,N/A
Asus VivoBook R542UR-DM257T,https://www.gadgets360.com/asus-vivobook-r542ur-dm257t-7996,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 10,N/A,N/A
Asus VivoBook E203NAH-FD081T,https://www.gadgets360.com/asus-vivobook-e203nah-fd081t-7995,N/A,11.60-inch,1366x768 pixels,Celeron Dual Core,Windows 10,N/A,N/A
Asus UX430UN-GV059T,https://www.gadgets360.com/asus-ux430un-gv059t-7994,"₹ 91,104",14.00-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
Asus X553MA-BING-XX538B,https://www.gadgets360.com/asus-x553ma-bing-xx538b-7993,"₹ 22,784",15.60-inch,1366x768 pixels,Pentium Dual Core,Windows 8.1,No,N/A
Asus VivoBook S14 S410UA-EB629T,https://www.gadgets360.com/asus-vivobook-s14-s410ua-eb629t-7991,N/A,14.00-inch,N/A,Core i3,Windows 10 Home,N/A,N/A
Asus VivoBook S14 S410UA-EB630T,https://www.gadgets360.com/asus-vivobook-s14-s410ua-eb630t-7990,N/A,14.00-inch,N/A,Core i5,Windows 10 Home,N/A,N/A
HP Pavilion 15-BC406TX,https://www.gadgets360.com/hp-pavilion-15-bc406tx-7989,N/A,15.60-inch,1366x768 pixels,Core i5,Windows 10,N/A,N/A
Asus ROG Zephyrus GX501GI-EI004T,https://www.gadgets360.com/asus-rog-zephyrus-gx501gi-ei004t-7988,N/A,15.60-inch,1920x1080 pixels,Core i7,Windows 10,No,N/A
HP 15-DC0107TX,https://www.gadgets360.com/hp-15-dc0107tx-7987,N/A,15.60-inch,3840x2160 pixels,Core i7,Windows 10,N/A,N/A
HP Pavilion 15-CX0144TX,https://www.gadgets360.com/hp-pavilion-15-cx0144tx-7986,N/A,15.60-inch,1366x768 pixels,Core i7,Windows 10,N/A,N/A
